product_id,product_name,category,cost_price,selling_price
51,Omo Washing Powder 2kg Bottle,Groceries,48.76,73.29
52,Simba Chips 120g Pack,Pantry,48.22,75.09
53,Koo Baked Beans 410g Pack,Pantry,15.28,18.46
54,Omo Washing Powder 2kg Unit,Bakery,48.9,59.72
55,Omo Washing Powder 2kg Box,Snacks,20.45,30.5
56,Clover Full Cream Milk 1L Bottle,Beverages,41.7,56.93
57,Clover Full Cream Milk 1L Unit,Snacks,46.13,56.59
58,Omo Washing Powder 2kg Pack,Snacks,37.25,54.91
59,Albany Brown Bread Bottle,Beverages,40.12,61.5
60,Albany Brown Bread Pack,Cleaning,14.35,22.15
61,Nescafe Coffee 200g Pack,Beverages,9.39,14.98
62,Omo Washing Powder 2kg Pack,Dairy,22.1,30.19
63,Omo Washing Powder 2kg Unit,Groceries,17.59,22.64
64,Nescafe Coffee 200g Box,Pantry,34.51,49.37
65,Albany Brown Bread Unit,Bakery,19.54,27.68
66,Simba Chips 120g Bottle,Bakery,10.65,16.69
67,Clover Full Cream Milk 1L Bottle,Dairy,44.09,53.4
68,Simba Chips 120g Bottle,Beverages,6.38,8.08
69,Albany Brown Bread Box,Groceries,37.06,59.06
70,Clover Full Cream Milk 1L Bottle,Dairy,43.47,65.79
71,Five Roses Tea 100s Unit,Bakery,22.34,29.05
72,Nescafe Coffee 200g Bottle,Groceries,18.11,25.65
73,Coca-Cola 500ml Unit,Groceries,23.18,31.67
74,Sunlight Dish Liquid 750ml Bottle,Pantry,17.13,24.26
75,Koo Baked Beans 410g Bottle,Beverages,41.58,66.43
76,Clover Full Cream Milk 1L Box,Beverages,32.85,44.91
77,Simba Chips 120g Bottle,Beverages,9.22,13.66
78,Nestle Milo 500g Bottle,Pantry,41.57,61.7
79,Koo Baked Beans 410g Unit,Snacks,23.4,33.0
80,Nestle Milo 500g Box,Pantry,34.31,48.77
81,Coca-Cola 500ml Pack,Snacks,20.74,25.54
82,Omo Washing Powder 2kg Box,Groceries,21.14,31.03
83,Nescafe Coffee 200g Pack,Cleaning,16.6,24.79
84,Five Roses Tea 100s Bottle,Beverages,11.4,17.01
85,Albany Brown Bread Box,Beverages,5.55,8.71
86,Sunlight Dish Liquid 750ml Pack,Beverages,10.51,16.34
87,Albany Brown Bread Bottle,Cleaning,16.83,25.34
88,Nescafe Coffee 200g Bottle,Beverages,24.67,30.53
89,Albany Brown Bread Pack,Pantry,21.12,25.82
90,Sunlight Dish Liquid 750ml Box,Beverages,6.53,8.48
91,Coca-Cola 500ml Pack,Snacks,6.0,7.27
92,Five Roses Tea 100s Box,Beverages,16.52,24.31
93,Albany Brown Bread Pack,Groceries,40.39,52.38
94,Nescafe Coffee 200g Box,Dairy,21.8,28.0
95,Nescafe Coffee 200g Box,Bakery,7.53,10.96
96,Omo Washing Powder 2kg Bottle,Dairy,42.78,66.68
97,Nestle Milo 500g Pack,Pantry,28.16,39.77
98,Koo Baked Beans 410g Box,Cleaning,16.77,22.69
99,Nescafe Coffee 200g Box,Bakery,11.37,15.21
100,Sunlight Dish Liquid 750ml Box,Beverages,43.19,52.44
101,Sunlight Dish Liquid 750ml Box,Cleaning,48.34,59.69
102,Coca-Cola 500ml Bottle,Pantry,26.24,35.93
103,Coca-Cola 500ml Box,Bakery,41.48,64.32
104,Coca-Cola 500ml Pack,Bakery,10.96,14.9
105,Coca-Cola 500ml Unit,Beverages,23.77,35.05
106,Clover Full Cream Milk 1L Pack,Pantry,14.88,21.65
107,Nescafe Coffee 200g Unit,Snacks,42.28,63.55
108,Nescafe Coffee 200g Unit,Groceries,30.49,38.34
109,Albany Brown Bread Box,Cleaning,39.09,58.05
110,Five Roses Tea 100s Bottle,Bakery,42.08,65.56
111,Coca-Cola 500ml Pack,Snacks,41.94,57.6
112,Omo Washing Powder 2kg Unit,Dairy,17.65,27.23
113,Sunlight Dish Liquid 750ml Unit,Pantry,31.9,44.97
114,Simba Chips 120g Bottle,Groceries,18.21,28.08
115,Albany Brown Bread Bottle,Dairy,39.54,53.1
116,Coca-Cola 500ml Bottle,Cleaning,35.25,45.96
117,Clover Full Cream Milk 1L Unit,Beverages,21.08,27.95
118,Five Roses Tea 100s Bottle,Dairy,11.74,16.11
119,Nestle Milo 500g Bottle,Beverages,6.2,8.78
120,Nestle Milo 500g Unit,Bakery,39.73,59.45
121,Simba Chips 120g Unit,Dairy,49.61,74.41
122,Nescafe Coffee 200g Unit,Cleaning,24.39,29.75
123,Koo Baked Beans 410g Box,Bakery,41.46,65.79
124,Omo Washing Powder 2kg Box,Dairy,31.86,47.43
125,Nestle Milo 500g Unit,Snacks,21.71,34.36
126,Clover Full Cream Milk 1L Pack,Pantry,43.33,56.24
127,Clover Full Cream Milk 1L Box,Dairy,9.07,13.52
128,Albany Brown Bread Pack,Groceries,14.9,18.6
129,Koo Baked Beans 410g Pack,Pantry,23.74,28.85
130,Koo Baked Beans 410g Box,Snacks,6.78,8.27
131,Nestle Milo 500g Pack,Groceries,6.97,10.67
132,Koo Baked Beans 410g Pack,Pantry,14.58,18.57
133,Five Roses Tea 100s Pack,Snacks,31.05,41.03
134,Omo Washing Powder 2kg Box,Snacks,47.01,62.63
135,Omo Washing Powder 2kg Unit,Bakery,43.26,60.85
136,Albany Brown Bread Bottle,Beverages,16.0,20.32
137,Five Roses Tea 100s Pack,Cleaning,17.92,28.06
138,Coca-Cola 500ml Bottle,Pantry,27.94,34.57
139,Clover Full Cream Milk 1L Unit,Pantry,47.58,59.59
140,Omo Washing Powder 2kg Bottle,Cleaning,23.97,29.43
141,Koo Baked Beans 410g Pack,Bakery,41.93,66.41
142,Omo Washing Powder 2kg Pack,Bakery,34.55,45.36
143,Albany Brown Bread Bottle,Cleaning,11.05,14.03
144,Five Roses Tea 100s Bottle,Beverages,5.85,7.85
145,Koo Baked Beans 410g Unit,Pantry,9.21,12.18
146,Koo Baked Beans 410g Unit,Groceries,31.98,38.92
147,Simba Chips 120g Box,Cleaning,31.46,44.96
148,Omo Washing Powder 2kg Unit,Snacks,6.99,9.71
149,Coca-Cola 500ml Pack,Pantry,40.78,59.23
150,Albany Brown Bread Bottle,Groceries,8.88,12.7
151,Sunlight Dish Liquid 750ml Pack,Cleaning,27.18,39.24
152,Sunlight Dish Liquid 750ml Bottle,Groceries,15.23,19.46
153,Albany Brown Bread Unit,Pantry,43.71,60.77
154,Koo Baked Beans 410g Bottle,Bakery,43.9,53.62
155,Sunlight Dish Liquid 750ml Pack,Beverages,17.69,25.71
156,Coca-Cola 500ml Unit,Cleaning,36.73,48.3
157,Clover Full Cream Milk 1L Bottle,Groceries,17.81,23.8
158,Nescafe Coffee 200g Box,Bakery,40.83,58.58
159,Sunlight Dish Liquid 750ml Pack,Snacks,39.01,50.42
160,Albany Brown Bread Unit,Snacks,15.22,24.35
161,Nestle Milo 500g Box,Beverages,29.76,45.92
162,Nestle Milo 500g Box,Dairy,37.32,57.39
163,Nescafe Coffee 200g Pack,Groceries,11.33,14.41
164,Coca-Cola 500ml Box,Cleaning,5.03,6.23
165,Nestle Milo 500g Unit,Dairy,13.68,20.93
166,Sunlight Dish Liquid 750ml Box,Dairy,27.08,40.01
167,Koo Baked Beans 410g Pack,Beverages,38.78,58.59
168,Clover Full Cream Milk 1L Pack,Beverages,16.94,26.1
169,Nestle Milo 500g Pack,Bakery,17.56,27.41
170,Simba Chips 120g Box,Bakery,22.68,28.77
171,Nescafe Coffee 200g Box,Cleaning,38.65,48.32
172,Nestle Milo 500g Unit,Bakery,33.16,41.78
173,Five Roses Tea 100s Bottle,Snacks,9.63,14.67
174,Albany Brown Bread Unit,Pantry,11.11,13.44
175,Simba Chips 120g Pack,Groceries,48.9,74.43
176,Clover Full Cream Milk 1L Pack,Beverages,38.53,52.1
177,Nescafe Coffee 200g Bottle,Cleaning,47.2,56.89
178,Five Roses Tea 100s Pack,Pantry,24.62,36.88
179,Albany Brown Bread Unit,Snacks,12.71,16.02
180,Koo Baked Beans 410g Unit,Cleaning,24.87,31.13
181,Albany Brown Bread Unit,Bakery,45.2,71.53
182,Nestle Milo 500g Unit,Beverages,40.27,63.08
183,Nescafe Coffee 200g Unit,Groceries,40.0,59.68
184,Sunlight Dish Liquid 750ml Unit,Beverages,10.78,15.04
185,Five Roses Tea 100s Pack,Groceries,5.12,6.67
186,Omo Washing Powder 2kg Box,Bakery,25.66,40.28
187,Five Roses Tea 100s Bottle,Dairy,22.63,28.19
188,Nestle Milo 500g Bottle,Beverages,30.93,37.45
189,Nestle Milo 500g Box,Beverages,47.16,59.99
190,Nescafe Coffee 200g Pack,Pantry,19.38,30.5
191,Albany Brown Bread Unit,Dairy,17.63,22.65
192,Nestle Milo 500g Pack,Beverages,12.32,18.56
193,Omo Washing Powder 2kg Bottle,Bakery,12.24,14.93
194,Nestle Milo 500g Pack,Groceries,30.24,40.35
195,Sunlight Dish Liquid 750ml Box,Cleaning,25.58,35.97
196,Nescafe Coffee 200g Bottle,Bakery,21.91,34.21
197,Albany Brown Bread Unit,Beverages,36.97,55.38
198,Nescafe Coffee 200g Pack,Bakery,46.5,62.74
199,Nestle Milo 500g Pack,Dairy,23.42,28.13
200,Omo Washing Powder 2kg Box,Snacks,10.11,12.69
201,Simba Chips 120g Unit,Pantry,24.73,33.9
202,Clover Full Cream Milk 1L Box,Bakery,44.48,57.56
203,Clover Full Cream Milk 1L Bottle,Groceries,40.51,50.84
204,Albany Brown Bread Unit,Dairy,20.44,25.23
205,Simba Chips 120g Box,Cleaning,45.43,63.87
206,Clover Full Cream Milk 1L Pack,Beverages,38.1,48.37
207,Koo Baked Beans 410g Box,Cleaning,22.73,33.43
208,Five Roses Tea 100s Bottle,Bakery,22.0,26.88
209,Sunlight Dish Liquid 750ml Unit,Cleaning,18.0,28.5
210,Simba Chips 120g Box,Groceries,11.0,13.76
211,Omo Washing Powder 2kg Bottle,Snacks,16.79,24.28
212,Simba Chips 120g Unit,Cleaning,28.46,40.91
213,Five Roses Tea 100s Unit,Beverages,5.88,8.41
214,Albany Brown Bread Box,Bakery,30.96,40.82
215,Nestle Milo 500g Box,Dairy,20.49,27.17
216,Sunlight Dish Liquid 750ml Unit,Snacks,34.14,53.75
217,Coca-Cola 500ml Pack,Dairy,40.55,55.61
218,Five Roses Tea 100s Pack,Cleaning,40.72,53.44
219,Five Roses Tea 100s Bottle,Groceries,38.91,56.5
220,Koo Baked Beans 410g Box,Groceries,39.62,50.04
221,Simba Chips 120g Bottle,Beverages,16.23,25.83
222,Nescafe Coffee 200g Pack,Snacks,16.46,22.9
223,Omo Washing Powder 2kg Box,Snacks,37.48,52.61
224,Nescafe Coffee 200g Unit,Cleaning,14.67,22.17
225,Five Roses Tea 100s Pack,Snacks,40.22,50.35
226,Omo Washing Powder 2kg Box,Snacks,18.24,23.4
227,Albany Brown Bread Pack,Bakery,45.56,63.52
228,Coca-Cola 500ml Pack,Beverages,48.14,75.1
229,Sunlight Dish Liquid 750ml Bottle,Dairy,46.76,63.72
230,Albany Brown Bread Box,Pantry,16.4,21.76
231,Koo Baked Beans 410g Box,Cleaning,27.47,40.24
232,Sunlight Dish Liquid 750ml Bottle,Beverages,6.96,9.22
233,Nestle Milo 500g Unit,Cleaning,5.39,7.65
234,Koo Baked Beans 410g Unit,Pantry,34.62,47.42
235,Clover Full Cream Milk 1L Box,Pantry,41.87,50.54
236,Nescafe Coffee 200g Box,Groceries,15.25,23.32
237,Nescafe Coffee 200g Box,Dairy,23.48,31.6
238,Clover Full Cream Milk 1L Pack,Cleaning,43.17,62.45
239,Albany Brown Bread Bottle,Groceries,11.5,16.54
240,Albany Brown Bread Unit,Beverages,43.18,60.93
241,Coca-Cola 500ml Bottle,Bakery,10.26,13.49
242,Coca-Cola 500ml Bottle,Groceries,35.29,46.33
243,Coca-Cola 500ml Box,Beverages,13.87,19.84
244,Nescafe Coffee 200g Pack,Dairy,47.36,75.32
245,Five Roses Tea 100s Box,Pantry,48.26,62.76
246,Albany Brown Bread Unit,Beverages,10.55,13.64
247,Omo Washing Powder 2kg Bottle,Snacks,25.93,32.61
248,Coca-Cola 500ml Box,Dairy,17.36,24.78
249,Coca-Cola 500ml Pack,Snacks,44.0,69.17
250,Nestle Milo 500g Bottle,Snacks,22.31,34.4
251,Nescafe Coffee 200g Box,Pantry,40.0,56.67
252,Koo Baked Beans 410g Bottle,Bakery,41.18,53.47
253,Nestle Milo 500g Bottle,Bakery,11.72,18.11
254,Five Roses Tea 100s Pack,Snacks,41.12,58.24
255,Nestle Milo 500g Bottle,Pantry,7.66,9.26
256,Koo Baked Beans 410g Bottle,Cleaning,23.72,31.62
257,Nescafe Coffee 200g Bottle,Groceries,45.27,56.14
258,Simba Chips 120g Bottle,Cleaning,12.46,18.88
259,Albany Brown Bread Bottle,Cleaning,26.78,42.36
260,Simba Chips 120g Bottle,Snacks,44.99,56.44
261,Nescafe Coffee 200g Unit,Bakery,17.06,23.44
262,Nescafe Coffee 200g Box,Snacks,43.98,69.01
263,Clover Full Cream Milk 1L Unit,Pantry,25.79,38.85
264,Simba Chips 120g Bottle,Dairy,8.75,12.11
265,Sunlight Dish Liquid 750ml Box,Groceries,26.21,32.04
266,Coca-Cola 500ml Unit,Beverages,5.83,7.59
267,Simba Chips 120g Unit,Dairy,46.96,65.96
268,Albany Brown Bread Unit,Bakery,35.31,46.36
269,Albany Brown Bread Unit,Snacks,49.12,61.35
270,Clover Full Cream Milk 1L Pack,Groceries,43.53,60.01
271,Five Roses Tea 100s Box,Snacks,8.72,13.66
272,Nescafe Coffee 200g Unit,Dairy,32.39,39.95
273,Albany Brown Bread Bottle,Cleaning,12.47,15.58
274,Nestle Milo 500g Unit,Bakery,34.71,47.99
275,Nescafe Coffee 200g Pack,Dairy,41.0,52.54
276,Simba Chips 120g Unit,Bakery,40.95,55.27
277,Koo Baked Beans 410g Unit,Snacks,45.89,57.32
278,Omo Washing Powder 2kg Bottle,Pantry,30.59,41.36
279,Simba Chips 120g Pack,Snacks,22.96,34.12
280,Sunlight Dish Liquid 750ml Box,Snacks,13.08,16.23
281,Albany Brown Bread Unit,Groceries,22.68,31.46
282,Koo Baked Beans 410g Pack,Beverages,24.48,33.01
283,Sunlight Dish Liquid 750ml Pack,Groceries,9.97,14.47
284,Omo Washing Powder 2kg Unit,Dairy,8.11,12.46
285,Nescafe Coffee 200g Unit,Groceries,31.72,48.28
286,Nestle Milo 500g Bottle,Beverages,21.66,26.52
287,Five Roses Tea 100s Bottle,Pantry,13.18,18.61
288,Simba Chips 120g Bottle,Snacks,12.51,18.95
289,Omo Washing Powder 2kg Unit,Bakery,31.59,38.38
290,Coca-Cola 500ml Bottle,Bakery,43.52,62.22
291,Clover Full Cream Milk 1L Pack,Pantry,40.75,64.49
292,Clover Full Cream Milk 1L Box,Groceries,19.54,25.98
293,Koo Baked Beans 410g Pack,Pantry,36.4,46.79
294,Omo Washing Powder 2kg Box,Snacks,25.9,40.41
295,Nestle Milo 500g Unit,Dairy,27.59,33.8
296,Nestle Milo 500g Bottle,Groceries,49.31,74.0
297,Sunlight Dish Liquid 750ml Pack,Pantry,28.04,39.72
298,Simba Chips 120g Pack,Beverages,41.18,57.53
299,Five Roses Tea 100s Box,Cleaning,31.04,41.73
300,Koo Baked Beans 410g Box,Beverages,21.75,28.63
301,Clover Full Cream Milk 1L Box,Groceries,47.28,59.44
302,Coca-Cola 500ml Box,Bakery,40.91,51.09
303,Simba Chips 120g Unit,Bakery,47.42,64.59
304,Coca-Cola 500ml Unit,Bakery,22.88,31.24
305,Simba Chips 120g Pack,Beverages,22.9,30.75
306,Simba Chips 120g Unit,Groceries,43.46,58.06
307,Nescafe Coffee 200g Pack,Bakery,35.59,52.63
308,Nestle Milo 500g Bottle,Beverages,34.79,42.1
309,Sunlight Dish Liquid 750ml Pack,Groceries,44.59,68.3
310,Coca-Cola 500ml Box,Cleaning,9.6,11.94
311,Clover Full Cream Milk 1L Pack,Bakery,26.39,34.3
312,Omo Washing Powder 2kg Unit,Pantry,46.73,73.82
313,Albany Brown Bread Bottle,Cleaning,40.19,54.73
314,Nescafe Coffee 200g Bottle,Bakery,41.47,49.88
315,Nestle Milo 500g Box,Cleaning,18.4,25.99
316,Nestle Milo 500g Box,Dairy,48.8,63.94
317,Clover Full Cream Milk 1L Unit,Bakery,12.92,16.79
318,Nestle Milo 500g Box,Groceries,46.02,71.12
319,Clover Full Cream Milk 1L Bottle,Snacks,5.23,8.35
320,Five Roses Tea 100s Unit,Cleaning,9.44,13.17
321,Koo Baked Beans 410g Unit,Beverages,38.7,58.52
322,Koo Baked Beans 410g Bottle,Dairy,43.57,60.53
323,Five Roses Tea 100s Unit,Dairy,33.09,43.76
324,Sunlight Dish Liquid 750ml Bottle,Snacks,18.18,22.48
325,Five Roses Tea 100s Pack,Snacks,22.96,34.55
326,Nescafe Coffee 200g Bottle,Snacks,29.13,46.53
327,Five Roses Tea 100s Bottle,Cleaning,45.01,62.3
328,Coca-Cola 500ml Box,Pantry,15.83,23.46
329,Sunlight Dish Liquid 750ml Pack,Cleaning,33.85,52.36
330,Nescafe Coffee 200g Pack,Cleaning,31.12,42.78
331,Nescafe Coffee 200g Pack,Snacks,32.53,42.98
332,Omo Washing Powder 2kg Pack,Groceries,37.69,54.21
333,Sunlight Dish Liquid 750ml Unit,Beverages,14.04,18.09
334,Nestle Milo 500g Pack,Groceries,32.4,51.15
335,Simba Chips 120g Bottle,Beverages,41.5,61.64
336,Sunlight Dish Liquid 750ml Bottle,Groceries,49.01,76.88
337,Sunlight Dish Liquid 750ml Unit,Groceries,46.42,56.53
338,Coca-Cola 500ml Bottle,Beverages,47.2,59.63
339,Koo Baked Beans 410g Unit,Groceries,36.27,48.46
340,Sunlight Dish Liquid 750ml Unit,Beverages,22.4,31.66
341,Sunlight Dish Liquid 750ml Unit,Beverages,43.19,67.32
342,Albany Brown Bread Pack,Snacks,31.26,41.52
343,Nestle Milo 500g Bottle,Groceries,11.27,14.95
344,Koo Baked Beans 410g Bottle,Bakery,32.67,46.57
345,Koo Baked Beans 410g Box,Bakery,8.88,11.61
346,Nestle Milo 500g Pack,Cleaning,47.54,73.68
347,Clover Full Cream Milk 1L Unit,Cleaning,15.52,20.79
348,Sunlight Dish Liquid 750ml Pack,Pantry,15.11,23.68
349,Clover Full Cream Milk 1L Box,Bakery,46.76,56.34
350,Simba Chips 120g Unit,Beverages,25.14,38.39
351,Coca-Cola 500ml Unit,Pantry,24.4,37.02
352,Omo Washing Powder 2kg Bottle,Dairy,37.31,56.48
353,Five Roses Tea 100s Unit,Cleaning,33.68,52.02
354,Nescafe Coffee 200g Bottle,Bakery,30.86,44.32
355,Albany Brown Bread Pack,Dairy,40.9,58.86
356,Simba Chips 120g Bottle,Cleaning,33.67,52.51
357,Koo Baked Beans 410g Box,Dairy,48.74,68.11
358,Koo Baked Beans 410g Bottle,Snacks,11.93,18.99
359,Simba Chips 120g Unit,Dairy,14.06,18.43
360,Koo Baked Beans 410g Box,Beverages,19.2,30.27
361,Clover Full Cream Milk 1L Pack,Snacks,39.58,55.65
362,Omo Washing Powder 2kg Bottle,Groceries,18.72,24.54
363,Nescafe Coffee 200g Pack,Dairy,18.04,27.61
364,Nescafe Coffee 200g Box,Groceries,19.07,29.61
365,Simba Chips 120g Pack,Cleaning,15.85,19.4
366,Nestle Milo 500g Unit,Beverages,33.02,51.36
367,Clover Full Cream Milk 1L Unit,Beverages,17.84,24.74
368,Five Roses Tea 100s Box,Snacks,43.19,55.26
369,Clover Full Cream Milk 1L Box,Dairy,13.35,17.21
370,Five Roses Tea 100s Unit,Pantry,8.92,11.85
371,Five Roses Tea 100s Bottle,Pantry,5.54,8.01
372,Sunlight Dish Liquid 750ml Bottle,Snacks,35.25,51.34
373,Omo Washing Powder 2kg Pack,Groceries,26.73,36.33
374,Five Roses Tea 100s Unit,Bakery,9.44,13.7
375,Five Roses Tea 100s Bottle,Snacks,16.29,24.58
376,Koo Baked Beans 410g Unit,Bakery,27.21,42.39
377,Simba Chips 120g Unit,Cleaning,14.29,21.49
378,Omo Washing Powder 2kg Pack,Beverages,46.11,64.06
379,Five Roses Tea 100s Pack,Groceries,30.57,37.41
380,Coca-Cola 500ml Unit,Dairy,13.84,20.9
381,Coca-Cola 500ml Bottle,Bakery,38.65,58.62
382,Sunlight Dish Liquid 750ml Unit,Groceries,36.12,57.57
383,Albany Brown Bread Bottle,Dairy,40.06,49.78
384,Five Roses Tea 100s Pack,Dairy,14.49,17.54
385,Omo Washing Powder 2kg Unit,Dairy,43.52,67.13
386,Five Roses Tea 100s Box,Snacks,16.76,24.71
387,Nestle Milo 500g Bottle,Bakery,13.27,16.31
388,Albany Brown Bread Bottle,Cleaning,27.06,41.09
389,Coca-Cola 500ml Bottle,Snacks,44.63,58.92
390,Five Roses Tea 100s Pack,Cleaning,24.15,37.4
391,Five Roses Tea 100s Pack,Beverages,17.62,26.78
392,Five Roses Tea 100s Unit,Snacks,5.43,6.69
393,Nestle Milo 500g Pack,Groceries,12.05,16.42
394,Coca-Cola 500ml Pack,Bakery,7.23,9.66
395,Five Roses Tea 100s Bottle,Bakery,43.54,54.83
396,Koo Baked Beans 410g Box,Beverages,40.11,53.62
397,Nestle Milo 500g Bottle,Dairy,20.68,25.85
398,Coca-Cola 500ml Bottle,Cleaning,27.75,41.1
399,Coca-Cola 500ml Pack,Cleaning,17.83,25.03
400,Five Roses Tea 100s Box,Cleaning,48.2,73.28
401,Simba Chips 120g Bottle,Dairy,32.83,41.54
402,Clover Full Cream Milk 1L Box,Beverages,29.29,36.53
403,Five Roses Tea 100s Box,Dairy,30.55,40.71
404,Koo Baked Beans 410g Pack,Pantry,28.28,36.1
405,Koo Baked Beans 410g Box,Groceries,8.86,13.21
406,Coca-Cola 500ml Unit,Beverages,11.17,13.53
407,Simba Chips 120g Box,Groceries,10.91,13.96
408,Five Roses Tea 100s Bottle,Groceries,32.01,50.73
409,Albany Brown Bread Unit,Bakery,31.35,38.74
410,Nescafe Coffee 200g Unit,Cleaning,35.34,56.51
411,Omo Washing Powder 2kg Box,Bakery,33.53,41.69
412,Nescafe Coffee 200g Pack,Beverages,49.53,68.03
413,Sunlight Dish Liquid 750ml Bottle,Snacks,15.99,20.71
414,Five Roses Tea 100s Box,Bakery,27.88,34.3
415,Omo Washing Powder 2kg Bottle,Cleaning,49.86,65.24
416,Omo Washing Powder 2kg Unit,Dairy,33.76,45.67
417,Five Roses Tea 100s Box,Beverages,8.63,10.84
418,Sunlight Dish Liquid 750ml Box,Bakery,42.36,54.65
419,Clover Full Cream Milk 1L Box,Dairy,14.6,21.54
420,Albany Brown Bread Pack,Pantry,43.78,57.87
421,Albany Brown Bread Unit,Bakery,35.5,42.76
422,Five Roses Tea 100s Pack,Dairy,11.93,14.95
423,Clover Full Cream Milk 1L Unit,Dairy,35.31,43.86
424,Simba Chips 120g Bottle,Cleaning,40.61,61.13
425,Omo Washing Powder 2kg Pack,Pantry,25.61,32.92
426,Nestle Milo 500g Bottle,Cleaning,35.95,50.07
427,Simba Chips 120g Unit,Dairy,8.13,10.18
428,Nescafe Coffee 200g Unit,Groceries,41.71,50.05
429,Sunlight Dish Liquid 750ml Bottle,Snacks,12.73,18.24
430,Nescafe Coffee 200g Unit,Dairy,38.05,45.69
431,Koo Baked Beans 410g Unit,Cleaning,7.4,11.3
432,Koo Baked Beans 410g Unit,Dairy,37.14,48.65
433,Omo Washing Powder 2kg Unit,Dairy,45.24,69.17
434,Nescafe Coffee 200g Box,Beverages,41.41,63.69
435,Nestle Milo 500g Unit,Snacks,24.64,37.67
436,Clover Full Cream Milk 1L Pack,Cleaning,32.22,51.25
437,Omo Washing Powder 2kg Box,Bakery,16.98,22.0
438,Sunlight Dish Liquid 750ml Box,Cleaning,20.24,27.28
439,Coca-Cola 500ml Bottle,Snacks,14.51,18.5
440,Simba Chips 120g Bottle,Dairy,34.73,54.7
441,Nescafe Coffee 200g Box,Groceries,46.46,56.21
442,Clover Full Cream Milk 1L Bottle,Groceries,8.16,12.51
443,Nestle Milo 500g Pack,Groceries,48.85,75.92
444,Albany Brown Bread Bottle,Pantry,38.35,56.07
445,Albany Brown Bread Box,Cleaning,43.5,58.98
446,Simba Chips 120g Box,Pantry,10.21,12.77
447,Sunlight Dish Liquid 750ml Pack,Dairy,45.87,58.75
448,Simba Chips 120g Bottle,Pantry,19.2,28.09
449,Omo Washing Powder 2kg Box,Snacks,42.38,51.55
450,Nescafe Coffee 200g Box,Beverages,14.16,19.23
451,Albany Brown Bread Box,Snacks,12.76,16.35
452,Koo Baked Beans 410g Unit,Snacks,47.27,59.77
