store_id,product_id,stock_level,reorder_level
S058,1173,121,44
S122,1676,52,33
S096,1238,170,41
S140,954,141,53
S130,805,20,40
S067,1834,2,50
S017,1350,189,41
S057,243,50,46
S056,655,87,59
S091,560,30,46
S159,515,36,54
S163,951,154,48
S150,1627,112,52
S034,1848,120,35
S040,402,67,26
S139,63,82,34
S184,1058,94,20
S001,678,184,30
S066,708,176,28
S173,1337,74,36
S070,1356,90,27
S078,1647,188,29
S070,1399,68,49
S196,1872,170,56
S049,896,4,39
S037,1815,175,23
S008,377,124,43
S167,1381,132,56
S134,345,138,52
S143,131,172,36
S111,401,55,47
S026,131,193,27
S174,590,62,34
S039,237,167,57
S083,890,99,44
S122,1162,61,20
S030,896,105,33
S135,261,97,54
S197,1657,189,26
S033,718,198,47
S159,1968,87,51
S050,521,126,44
S186,1194,58,58
S061,1442,160,45
S098,1912,86,40
S048,758,2,56
S171,1922,108,20
S110,1626,154,28
S162,1341,104,31
S185,1537,171,23
S178,178,179,53
S046,1942,188,33
S093,1626,157,32
S003,950,33,40
S081,215,8,54
S001,1114,185,25
S123,1896,111,31
S066,1093,133,49
S021,321,8,48
S128,1893,126,54
S044,680,158,27
S011,610,88,29
S130,465,56,27
S137,1736,159,26
S046,1031,54,53
S023,238,34,20
S155,782,28,34
S115,1121,179,43
S068,1788,93,29
S093,214,95,41
S172,736,38,57
S090,194,26,24
S018,327,165,29
S087,458,39,30
S140,1380,63,29
S020,649,132,38
S149,1640,59,46
S071,1791,159,20
S158,329,178,55
S143,918,89,42
S034,1261,164,46
S097,307,137,43
S022,287,37,21
S123,739,198,23
S140,1931,15,30
S170,857,126,42
S098,1666,182,50
S114,1250,21,28
S182,1254,28,38
S027,1310,176,51
S138,166,40,20
S067,82,196,36
S096,966,175,56
S113,850,145,34
S039,425,52,34
S039,1860,11,23
S022,1208,17,39
S130,1312,186,55
S138,1161,89,29
S183,1969,153,45
S153,1068,106,22
S145,648,67,59
S021,1588,118,39
S012,254,47,58
S034,1363,196,51
S072,258,45,59
S146,780,8,47
S086,174,6,27
S134,1419,15,50
S024,171,80,36
S131,616,81,33
S031,985,86,45
S012,31,51,40
S036,1522,113,34
S132,164,108,33
S107,1625,143,58
S186,1319,142,40
S066,1166,54,28
S172,436,95,20
S015,1138,127,56
S148,134,127,41
S063,397,51,25
S188,1277,146,57
S144,310,25,34
S175,1788,26,36
S130,585,77,56
S141,974,106,21
S150,1575,80,52
S047,1607,128,46
S014,719,108,24
S042,288,39,20
S113,738,12,57
S062,657,28,44
S163,1174,111,38
S135,1388,197,41
S160,766,123,36
S091,288,44,44
S038,306,4,56
S002,1300,197,53
S114,1833,60,23
S027,1238,1,50
S160,1358,196,40
S162,1265,67,40
S019,654,133,56
S130,1311,153,31
S117,1754,195,31
S045,1840,71,40
S032,1038,140,38
S113,1974,64,28
S017,1681,170,41
S121,1546,151,45
S113,25,121,46
S117,635,57,25
S125,1038,32,57
S053,740,96,45
S116,355,133,54
S171,168,154,46
S190,1471,0,39
S027,1877,81,57
S184,60,198,28
S194,1317,152,21
S043,519,165,43
S193,945,67,53
S076,193,125,24
S160,491,88,42
S092,515,51,47
S189,528,20,38
S099,318,81,22
S154,1161,153,49
S151,1399,44,26
S153,147,114,26
S183,1905,76,49
S061,911,27,39
S037,1693,100,28
S165,927,7,27
S175,42,185,54
S121,847,27,35
S177,1925,190,57
S055,421,30,55
S194,1621,82,31
S052,1091,38,45
S014,738,133,59
S022,1120,44,39
S085,279,180,23
S001,1179,136,39
S162,810,79,40
S018,1732,23,41
S132,1311,31,29
S060,738,143,58
S153,363,73,46
S071,463,164,41
S135,1602,164,33
S144,418,41,32
S068,178,179,57
S129,1995,137,40
S057,487,116,32
S051,1576,42,41
S054,1089,89,39
S093,295,70,40
S174,374,55,52
S065,88,70,39
S101,946,87,22
S047,1642,98,25
S050,1202,54,50
S170,987,55,27
S119,1039,180,24
S144,1802,152,22
S002,709,74,40
S080,1429,60,31
S185,511,86,39
S076,1080,84,39
S200,1660,160,58
S012,1749,102,37
S097,33,196,50
S014,318,166,48
S136,983,90,59
S112,1957,180,52
S128,734,137,57
S051,932,152,49
S069,1699,194,54
S173,1497,0,40
S114,1879,72,25
S038,147,26,51
S151,1102,33,20
S183,1073,60,32
S107,1034,15,47
S011,643,54,38
S017,1046,89,39
S130,540,180,42
S156,1256,105,40
S088,1897,108,58
S021,312,142,52
S126,1730,119,27
S035,1942,109,40
S058,573,163,54
S111,384,84,33
S074,1464,33,28
S132,283,167,47
S139,675,31,35
S143,784,62,43
S144,763,180,27
S192,577,115,25
S153,808,26,39
S185,1477,93,35
S180,334,142,38
S108,963,148,28
S146,1790,166,49
S043,863,79,44
S173,46,144,29
S052,208,106,46
S163,960,14,21
S047,1443,165,43
S118,889,37,58
S125,31,110,56
S104,1035,86,30
S164,1747,147,33
S053,1549,31,32
S141,1274,135,58
S078,588,158,54
S184,171,199,47
S022,1210,169,40
S088,358,62,47
S069,1056,88,23
S070,1874,56,28
S039,668,51,55
S122,1918,141,23
S028,634,140,27
S055,242,22,57
S021,1199,62,41
S033,305,133,35
S030,707,169,47
S158,251,130,42
S015,845,160,44
S178,260,7,35
S041,382,86,32
S093,1530,70,37
S140,1832,142,29
S041,780,139,29
S121,988,25,21
S060,163,20,20
S127,716,73,20
S162,1986,176,57
S159,1696,87,38
S144,1182,6,51
S131,1131,49,24
S127,630,116,33
S134,1569,86,54
S089,672,132,54
S060,966,12,34
S028,905,83,29
S087,1072,140,22
S117,1858,155,33
S014,869,135,43
S150,51,106,48
S035,769,191,31
S116,1923,84,28
S134,986,181,40
S195,1715,59,33
S036,1998,199,26
S084,826,50,21
S118,1222,112,42
S157,1784,21,48
S009,916,51,25
S149,753,93,39
S199,40,76,35
S148,1387,176,56
S156,96,188,25
S070,849,32,29
S034,808,176,31
S091,699,160,32
S026,736,77,24
S029,523,100,35
S181,183,190,57
S043,71,51,50
S069,943,181,57
S127,64,134,59
S120,1368,0,41
S150,604,109,55
S034,62,124,46
S188,181,107,32
S117,583,143,22
S123,1583,99,36
S195,554,146,51
S150,844,127,39
S028,1034,11,50
S013,678,171,42
S057,378,152,21
S134,1585,118,45
S001,231,144,43
S020,1801,28,46
S183,690,153,51
S053,377,144,24
S145,1158,63,42
S019,466,48,51
S103,710,144,48
S191,987,190,25
S132,1855,44,36
S106,614,67,46
S009,200,154,30
S062,321,105,24
S005,1300,32,31
S053,1072,155,55
S122,1077,19,38
S052,1964,172,56
S178,227,171,52
S136,255,36,56
S123,750,64,49
S010,1847,183,22
S070,1814,100,49
S079,1392,139,54
S025,635,72,26
S162,930,94,47
S105,600,149,21
S023,353,170,58
S159,912,17,52
S143,628,119,54
S122,181,58,28
S060,1344,105,33
S110,1410,87,41
S005,1682,44,32
S151,1704,183,24
S072,1412,160,25
S051,43,18,48
S022,1072,187,28
S027,1698,30,31
S006,1947,81,35
S117,1790,103,35
S196,553,154,27
S166,1552,176,32
S086,1421,22,41
S092,857,38,27
S058,1006,81,37
S026,1650,1,56
S012,1083,74,52
S025,1806,109,56
S126,1559,75,42
S022,1675,68,58
S169,373,40,37
S111,1467,150,35
S107,1638,90,35
S163,1878,150,58
S093,1612,28,55
S151,1335,97,50
S118,768,30,25
S107,1430,91,30
S012,1004,11,25
S078,1344,43,40
S007,1872,38,46
S142,1544,118,57
S104,1728,51,35
S033,1726,117,44
S166,1684,96,38
S035,1192,175,39
S178,412,68,54
S057,168,69,24
S071,103,81,30
S006,442,81,55
S079,910,148,48
S056,158,16,47
S102,1918,77,31
S200,1537,103,53
S087,959,66,57
S189,916,112,20
S169,1013,112,46
S114,570,4,28
S134,17,148,33
S046,1062,64,59
S050,1629,100,22
S020,1118,116,47
S135,1507,169,22
S078,1134,170,27
S025,207,112,53
S104,121,198,54
S029,686,142,51
S071,43,62,20
S047,1578,16,53
S148,330,177,42
S048,1368,169,32
S133,570,34,40
S150,201,86,58
S186,1627,135,54
S089,1596,169,58
S169,781,166,34
S037,380,174,46
S172,1077,60,21
S057,92,133,53
S120,416,51,47
S007,763,25,59
S051,1998,100,27
S189,616,109,28
S042,1704,130,38
S009,439,123,26
S167,695,159,44
S031,1851,84,55
S068,1515,47,33
S110,1895,68,31
S070,142,171,45
S065,139,82,58
S197,697,129,26
S122,685,64,36
S034,1764,117,48
S136,1075,76,38
S016,1049,33,21
S049,1634,84,42
S194,941,104,52
S168,1484,168,51
S101,193,44,54
S082,428,17,32
S191,908,26,52
S057,1320,52,29
S105,568,36,56
S183,1393,40,34
S153,1798,107,47
S061,426,60,34
S183,1712,97,33
S023,1171,5,55
S046,520,30,59
S141,256,170,55
S156,910,11,24
S128,1408,93,47
S089,1432,151,39
S130,1703,92,56
S185,1080,32,33
S149,1617,132,33
S132,61,47,25
S090,806,121,21
S156,1527,190,42
S108,339,19,27
S006,1844,13,59
S138,1708,48,26
S192,487,40,20
S009,334,55,46
S175,999,54,38
S117,1084,163,38
S090,184,192,29
S096,819,78,39
S035,982,12,28
S057,556,55,53
S053,1232,99,58
S095,931,23,53
S017,1406,16,43
S149,1654,20,54
S188,750,147,29
S040,500,165,47
S003,247,140,55
S004,6,96,27
S005,615,108,37
S134,16,96,30
S059,1097,57,42
S163,195,6,26
S057,688,49,53
S064,214,173,51
S168,1932,143,48
S173,1797,53,53
S099,579,76,37
S051,1794,55,49
S195,1606,116,27
S103,1990,81,57
S061,412,29,52
S182,491,149,23
S095,564,141,42
S143,1928,29,54
S097,406,144,55
S053,1191,39,52
S081,233,129,47
S149,947,161,46
S162,1637,117,27
S178,1002,94,23
S137,1330,100,35
S097,1708,82,56
S119,992,80,24
S172,981,63,55
S041,1686,74,36
S108,269,18,29
S125,1075,68,41
S117,1062,147,23
S067,1991,182,49
S042,1366,149,31
S066,1906,87,28
S147,1936,25,49
S162,1254,115,45
S132,1335,175,25
S181,897,10,39
S041,216,106,34
S164,359,154,23
S119,1552,151,29
S026,1833,106,30
S073,786,13,34
S025,771,79,51
S138,1821,149,46
S004,1706,15,43
S147,1307,80,28
S078,909,53,57
S123,992,14,48
S083,1992,190,33
S115,1562,122,42
S135,1721,18,48
S148,1051,30,43
S058,1846,116,39
S192,132,118,43
S151,1758,190,37
S087,1953,24,33
S083,693,9,28
S062,1965,195,34
S181,554,61,42
S053,1793,197,21
S022,1308,19,43
S159,252,198,45
S040,1260,26,43
S077,1329,161,45
S165,1703,194,41
S111,488,161,37
S075,1314,121,45
S115,1346,104,26
S166,836,91,24
S162,1826,87,39
S106,1932,130,23
S072,343,90,57
S060,1079,15,55
S187,917,183,44
S156,898,35,37
S079,1519,151,29
S093,767,72,34
S194,1979,86,30
S012,1846,0,26
S074,1095,155,58
S112,1737,38,37
S124,595,126,51
S067,758,61,39
S061,1297,80,51
S077,1671,30,36
S133,1495,168,29
S200,1673,31,59
S050,1479,117,38
S004,232,185,23
S185,883,58,39
S157,766,57,50
S025,897,62,28
S035,1512,142,54
S012,1901,123,26
S039,1517,157,58
S091,1731,12,41
S036,929,101,58
S165,1036,38,48
S166,1415,16,55
S016,722,158,48
S130,310,109,50
S075,1700,60,55
S011,81,115,49
S043,1701,121,26
S191,1871,64,51
S128,629,178,23
S152,317,190,34
S036,1013,196,27
S054,931,198,33
S085,819,141,29
S188,1905,2,58
S104,679,108,44
S140,882,131,38
S083,165,46,42
S040,29,154,48
S061,839,13,59
S088,1910,148,31
S123,1631,37,30
S197,515,72,49
S136,1929,75,55
S009,933,13,58
S012,786,37,41
S173,1679,42,39
S020,9,66,27
S108,1015,154,35
S036,1596,139,55
S132,885,192,32
S142,1664,104,38
S045,1752,147,48
S144,283,191,48
S134,1140,16,37
S097,1482,62,34
S027,1732,93,45
S099,1755,149,30
S034,1564,47,29
S191,1531,156,40
S015,1629,38,57
S101,383,27,30
S195,790,24,21
S155,1013,42,35
S125,1158,122,53
S084,1738,54,28
S169,1500,45,46
S076,1937,114,31
S158,1480,199,22
S195,1650,87,31
S073,1567,103,20
S124,1757,168,52
S149,1458,8,29
S198,226,138,53
S141,369,129,41
S080,1734,166,23
S091,1368,98,37
S023,883,128,49
S032,432,127,53
S097,727,168,30
S088,1976,2,47
S063,1453,128,46
S021,1943,89,35
S119,889,175,35
S142,996,119,21
S004,1785,182,46
S154,215,6,40
S143,248,154,43
S144,659,110,26
S114,1175,50,53
S033,322,30,58
S080,133,51,33
S134,1885,64,38
S128,391,61,59
S176,1529,133,34
S047,269,184,53
S186,1792,151,54
S151,56,171,58
S146,614,180,48
S114,1527,84,55
S159,1803,85,40
S040,298,32,22
S034,227,11,35
S060,245,73,33
S100,1701,187,36
S145,1982,13,30
S154,315,198,45
S164,881,165,39
S023,1089,144,34
S130,522,40,29
S016,608,163,41
S121,1555,99,41
S002,1219,75,33
S186,1976,101,45
S198,358,91,29
S137,1850,8,39
S105,1812,175,20
S169,55,101,46
S135,1730,153,51
S015,716,173,35
S045,949,90,23
S034,1907,182,27
S138,1125,36,57
S114,506,175,55
S172,1418,119,45
S175,794,189,28
S011,508,121,58
S165,551,171,42
S083,434,22,30
S115,1582,121,38
S023,1215,140,34
S084,212,22,42
S151,182,66,29
S039,1982,9,35
S036,189,73,33
S031,1043,132,47
S031,63,155,28
S087,1440,109,29
S186,714,152,29
S182,1416,29,44
S043,860,130,39
S042,1283,64,33
S066,911,70,52
S012,399,112,54
S039,845,3,52
S122,1700,162,35
S122,308,31,42
S025,701,145,52
S057,152,146,46
S068,1311,97,43
S060,1653,51,41
S112,1948,194,26
S197,340,188,35
S087,466,143,40
S124,1601,130,42
S019,1248,183,58
S165,1431,0,54
S042,1317,11,43
S124,1831,149,42
S075,5,100,59
S013,83,171,22
S054,1484,24,52
S062,327,114,49
S173,257,72,51
S147,1127,62,31
S139,1733,188,20
S127,545,53,33
S098,993,0,55
S028,134,117,24
S024,176,101,48
S109,1625,22,57
S052,188,182,26
S192,869,177,43
S052,1372,178,57
S159,952,19,24
S190,696,3,32
S055,560,165,50
S197,1414,50,25
S137,535,196,37
S035,1543,45,31
S089,6,148,21
S124,58,131,41
S169,730,177,30
S002,1658,87,59
S194,342,29,41
S005,17,155,27
S018,231,58,28
S046,1757,80,27
S047,1687,46,34
S094,995,78,32
S161,72,131,45
S166,842,178,35
S191,579,153,27
S166,1154,119,52
S114,574,155,26
S191,1078,137,39
S090,1068,94,39
S071,965,13,54
S097,80,74,41
S032,1629,41,56
S173,1734,128,40
S089,1563,76,30
S129,1976,138,41
S071,304,177,25
S144,956,71,40
S123,1497,193,21
S119,497,179,20
S195,258,154,40
S004,1718,190,39
S174,615,42,47
S190,965,71,25
S012,1978,193,42
S085,1368,174,36
S193,317,23,43
S194,1675,99,49
S147,1219,182,46
S038,1622,162,49
S033,1932,164,52
S012,1883,193,57
S162,426,40,25
S148,645,129,35
S061,1346,79,30
S155,1784,166,51
S031,443,12,34
S157,1540,104,39
S136,1,182,53
S177,52,175,52
S029,623,156,22
S068,898,175,57
S098,1191,83,35
S065,988,94,37
S110,1136,67,42
S060,961,14,31
S031,152,140,38
S093,633,136,20
S102,1650,60,39
S023,1246,142,28
S134,1465,24,35
S140,327,101,44
S159,1285,127,49
S024,1955,4,58
S079,6,163,24
S050,1216,29,48
S034,1010,158,31
S191,1632,61,34
S009,560,10,35
S041,1791,101,22
S022,1970,44,58
S197,1565,69,36
S167,931,188,23
S073,630,158,46
S036,377,142,38
S059,1913,185,51
S092,1278,12,26
S129,925,62,33
S121,1529,105,49
S060,1480,123,47
S047,323,111,34
S030,725,87,55
S018,28,72,46
S032,596,66,27
S154,389,54,53
S132,1489,95,40
S180,1498,193,42
S143,1805,198,28
S054,112,166,20
S181,1578,108,51
S085,1371,58,56
S019,595,49,51
S045,1675,149,40
S034,1687,199,49
S136,1037,139,21
S014,57,158,55
S054,831,130,42
S032,312,164,34
S191,1852,91,55
S045,643,27,48
S136,619,86,43
S155,777,182,54
S038,1084,24,35
S173,171,51,37
S016,1738,6,47
S192,1582,156,41
S151,311,144,51
S019,977,51,35
S005,1026,131,26
S031,1343,102,27
S145,1527,146,40
S135,1062,21,33
S171,144,40,20
S146,1553,117,59
S028,531,119,24
S087,720,194,41
S191,1968,78,56
S177,378,114,32
S128,963,40,25
S026,500,180,52
S142,1922,14,46
S036,510,189,52
S031,837,198,25
S104,1477,187,25
S200,1889,137,53
S025,718,162,40
S075,1049,161,39
S109,669,35,51
S079,665,112,29
S157,1048,113,24
S156,607,186,55
S190,171,147,51
S199,171,20,41
S100,1751,186,30
S178,159,188,48
S041,886,114,54
S013,1989,115,35
S078,1996,178,38
S026,1161,157,37
S098,260,68,45
S150,1177,141,54
S193,735,191,23
S161,767,9,41
S138,1178,156,26
S059,1080,17,51
S188,953,22,42
S044,1983,107,41
S061,1171,125,54
S076,1646,24,59
S190,1880,88,21
S179,188,196,51
S101,1360,161,34
S001,334,152,45
S023,569,91,36
S148,1331,198,42
S063,744,86,42
S001,83,180,50
S093,237,121,58
S120,670,162,23
S137,670,197,51
S195,1772,52,49
S187,1244,43,36
S040,330,62,55
S075,1481,181,41
S181,724,195,33
S045,702,66,40
S163,1640,131,31
S192,1212,81,27
S108,1538,53,57
S048,1464,77,43
S094,569,195,59
S088,1748,52,28
S039,1049,141,33
S041,253,159,52
S083,157,108,59
S120,1414,86,27
S114,723,157,30
S076,1104,154,44
S104,1841,161,57
S159,85,196,47
S107,138,190,29
S186,1641,125,51
S137,31,194,25
S027,1497,49,44
S079,178,184,40
S087,476,23,33
S129,1922,127,52
S060,798,155,30
S062,1541,106,38
S071,718,105,33
S033,1472,46,58
S075,388,7,30
S093,1027,105,41
S132,340,149,39
S123,1707,123,52
S027,1437,185,36
S099,519,11,39
S013,852,58,35
S001,720,57,49
S008,1206,152,48
S086,151,160,59
S002,1142,106,41
S192,10,82,40
S098,1475,162,58
S179,444,14,39
S120,1739,169,48
S082,180,56,40
S160,625,76,32
S032,1783,5,41
S123,539,53,45
S166,148,75,54
S124,30,187,20
S092,571,152,35
S009,348,3,45
S013,66,185,30
S173,1497,171,34
S082,853,120,47
S044,804,182,33
S162,914,119,37
S183,1390,9,58
S144,374,59,55
S098,781,123,22
S094,1672,171,37
S106,198,148,51
S118,1035,117,25
S196,1308,87,53
S109,342,148,58
S123,1253,82,53
S138,1344,26,30
S097,1129,198,33
S162,977,135,39
S130,1821,111,57
S010,1112,101,27
S130,49,118,53
S165,1713,54,29
S158,494,166,55
S077,501,65,58
S019,514,126,39
S004,1882,38,46
S120,1559,140,29
S156,330,25,43
S137,269,68,20
S152,1552,117,41
S076,1822,54,43
S051,1649,95,43
S081,1813,97,54
S059,1538,59,56
S031,1493,109,30
S024,1404,65,46
S176,908,3,57
S053,1188,52,34
S176,28,4,36
S037,1201,151,54
S013,1377,25,40
S038,26,154,57
S096,1619,108,38
S104,1149,170,48
S132,1793,168,31
S096,1,71,23
S170,1710,53,48
S096,1721,185,24
S108,1108,130,47
S174,111,114,41
S012,1541,194,21
S005,772,36,37
S188,1356,162,49
S124,1076,141,56
S105,963,6,41
S109,1713,112,26
S013,691,111,37
S009,979,171,23
S031,1694,169,20
S125,703,184,51
S008,949,21,33
S136,1518,6,53
S180,1340,21,23
S086,1967,46,24
S004,139,164,45
S004,1980,141,20
S008,1345,176,42
S085,586,61,55
S098,813,25,34
S108,1528,158,54
S105,814,125,39
S192,97,150,59
S054,509,34,43
S054,245,189,45
S161,424,132,20
S179,74,174,36
S093,558,30,58
S130,1959,138,36
S120,1632,90,51
S172,1240,10,20
S096,795,151,34
S199,1316,135,37
S073,1439,136,34
S148,1859,122,40
S007,1620,46,24
S110,1491,167,41
S183,630,105,47
S099,165,52,37
S097,115,112,45
S101,1343,2,55
S032,634,141,40
S198,372,88,43
S098,241,34,49
S050,474,197,38
S112,1547,88,50
S088,528,47,36
S104,1828,195,27
S160,716,16,57
S033,1576,60,24
S104,1535,21,58
S134,1726,195,21
S043,641,49,52
S199,1208,1,20
S154,1611,78,44
S034,884,132,25
S183,1609,110,26
S046,1380,132,41
S018,269,21,23
S152,936,182,20
S043,586,60,56
S025,1924,191,44
S182,1197,116,33
S132,1827,131,31
S055,1305,58,42
S003,832,122,46
S158,1360,69,32
S013,445,162,44
S163,484,81,52
S011,1381,151,51
S057,1936,73,23
S013,38,188,42
S195,146,40,56
S152,1002,174,48
S047,1762,127,21
S118,1003,87,32
S169,1900,185,23
S082,657,183,23
S141,1486,132,23
S146,1671,185,21
S025,478,42,24
S034,1472,106,20
S014,412,50,21
S195,1777,61,28
S089,1766,85,32
S193,100,75,27
S106,1843,184,50
S127,463,2,26
S075,666,188,25
S086,722,62,24
S149,1182,132,27
S152,479,47,52
S036,619,60,28
S086,10,164,49
S009,1108,82,21
S178,1522,41,49
S026,1248,130,33
S156,1416,72,40
S162,399,36,26
S067,1018,48,27
S178,1179,54,45
S175,1391,66,34
S007,261,59,34
S176,1101,85,54
S068,1637,29,43
S180,1768,149,38
S095,1233,36,25
S013,1419,54,39
S012,754,96,29
S156,34,158,54
S009,1187,151,33
S024,858,108,51
S023,854,53,32
S040,358,170,44
S162,672,59,34
S028,403,36,36
S161,1103,4,27
S071,1325,175,36
S104,1417,136,49
S013,577,64,22
S042,616,62,39
S089,1139,91,24
S134,1465,198,33
S045,1142,63,38
S188,450,97,29
S029,1276,26,48
S016,1611,61,29
S053,1518,22,43
S024,1901,198,57
S116,742,43,26
S038,748,50,42
S031,938,181,49
S079,555,154,38
S114,731,0,49
S133,1345,138,55
S020,122,51,42
S107,263,40,55
S024,1343,120,47
S058,1659,134,52
S148,882,9,36
S133,1133,43,33
S023,1208,162,31
S189,1891,199,36
S153,1527,189,23
S149,650,136,54
S126,400,164,38
S035,1247,104,37
S172,238,18,23
S015,35,8,32
S177,1854,67,20
S160,377,184,50
S031,1202,136,27
S058,189,64,58
S032,73,172,24
S067,128,67,31
S052,987,25,24
S117,1544,176,44
S128,1087,71,23
S004,158,172,56
S121,1377,135,31
S067,115,179,27
S199,12,35,40
S115,1029,187,42
S082,1860,110,51
S083,259,177,26
S182,965,132,41
S031,736,163,50
S163,460,63,49
S157,1663,188,48
S135,1414,21,53
S199,765,33,52
S108,727,4,44
S135,1392,178,59
S115,213,172,40
S116,95,21,34
S068,1242,185,47
S170,1692,170,44
S107,920,39,47
S071,1747,25,53
S178,1953,166,38
S137,104,19,27
S014,225,41,49
S184,535,47,20
S159,798,97,30
S061,429,73,28
S165,1241,53,59
S071,939,98,50
S109,1169,33,45
S190,1703,189,30
S022,774,184,48
S173,815,176,26
S183,1288,163,28
S043,1251,191,33
S097,1718,138,42
S147,893,118,28
S058,1983,33,46
S019,1365,15,36
S035,1828,194,25
S106,752,16,27
S184,937,118,31
S071,1474,171,24
S148,1162,48,20
S168,1295,93,42
S063,590,123,34
S047,1641,5,39
S041,546,176,34
S003,756,61,46
S167,147,115,36
S120,1111,178,47
S039,1866,77,41
S101,504,0,58
S059,1142,59,49
S076,1768,175,30
S112,1304,14,47
S104,750,177,34
S123,1237,160,43
S008,820,93,51
S179,1289,134,54
S104,1609,181,38
S038,1681,70,29
S137,1787,159,40
S188,1215,73,34
S038,1451,183,59
S025,831,187,48
S083,826,116,27
S096,1873,149,50
S118,216,54,42
S001,1951,161,25
S075,484,147,43
S029,1368,175,33
S070,579,92,27
S108,1224,199,29
S142,228,111,28
S163,1480,195,46
S193,1556,89,42
S107,1590,72,23
S123,1415,156,47
S168,1119,42,41
S068,851,23,29
S096,1233,197,33
S001,1665,181,41
S110,440,45,31
S019,198,63,47
S057,1004,138,33
S069,1043,133,55
S128,1572,47,46
S025,52,21,35
S015,741,172,35
S193,709,28,38
S158,1373,86,20
S186,1846,86,41
S139,196,179,55
S108,1268,141,28
S059,235,136,35
S169,1430,192,27
S010,1339,113,21
S172,1037,43,56
S186,1416,137,58
S077,619,55,44
S042,869,134,36
S024,1415,58,42
S022,437,28,22
S095,1639,93,42
S029,1781,65,30
S163,1852,193,27
S074,1948,30,20
S100,401,90,58
S054,375,127,52
S148,1423,145,54
S154,998,77,36
S065,1413,115,21
S074,1563,102,41
S036,744,118,22
S111,1181,137,35
S110,645,17,39
S044,1651,165,27
S155,94,186,53
S139,1513,87,42
S063,956,183,40
S018,1088,24,28
S164,1156,88,25
S130,1092,0,52
S061,498,79,35
S111,806,16,37
S164,1906,33,50
